epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6604.45,0.97558,0.75418,0.01043,0.92317,0.82266,0.89712,0.65355,1.03315,0.6684,0.01449,0.00103555,0.00103555,0.00103555
43,6754.1,0.98811,0.74245,0.01036,0.85266,0.86834,0.8858,0.65951,0.96499,0.65473,0.01234,0.00102566,0.00102566,0.00102566
44,6902.67,0.97315,0.73653,0.01072,0.91428,0.84256,0.90002,0.65863,1.00418,0.65588,0.01309,0.00101559,0.00101559,0.00101559
45,7089.95,0.96322,0.7266,0.0103,0.88684,0.86102,0.89671,0.65755,0.9904,0.67824,0.01308,0.00100535,0.00100535,0.00100535
46,7286.4,0.97168,0.73086,0.01027,0.86922,0.86478,0.89051,0.65805,1.00741,0.65031,0.01305,0.000994942,0.000994942,0.000994942
47,7476.17,0.96554,0.7476,0.01001,0.86627,0.87221,0.90425,0.66708,0.99423,0.64282,0.01282,0.000984379,0.000984379,0.000984379
48,7667.44,0.97061,0.73265,0.0101,0.88821,0.86844,0.90468,0.67078,0.98799,0.63065,0.01245,0.000973661,0.000973661,0.000973661
49,7823.4,0.94504,0.70521,0.01017,0.91904,0.84329,0.90644,0.67582,0.97852,0.62359,0.0122,0.000962793,0.000962793,0.000962793
50,7972.8,0.9704,0.71995,0.01019,0.90181,0.86312,0.90811,0.67877,0.97754,0.60913,0.01192,0.000951779,0.000951779,0.000951779
51,8121.15,0.97267,0.71634,0.01021,0.92049,0.84522,0.90385,0.66939,0.97524,0.64502,0.01225,0.000940625,0.000940625,0.000940625
52,8269.85,0.94456,0.70735,0.01021,0.88265,0.85598,0.89915,0.65911,1.01416,0.66027,0.01343,0.000929335,0.000929335,0.000929335
53,8418.09,0.96268,0.711,0.01034,0.88344,0.87504,0.90325,0.67428,0.99358,0.61194,0.01284,0.000917914,0.000917914,0.000917914
54,8566.33,0.9663,0.69707,0.01026,0.91212,0.86945,0.90218,0.67715,0.97199,0.62131,0.01193,0.000906368,0.000906368,0.000906368
55,8714.77,0.92713,0.68944,0.00971,0.8947,0.8745,0.90257,0.67736,0.97263,0.61944,0.01203,0.000894701,0.000894701,0.000894701
56,8863.2,0.93536,0.69516,0.00981,0.88052,0.86527,0.89518,0.66553,0.99569,0.62816,0.01237,0.000882918,0.000882918,0.000882918
57,9018.54,0.92712,0.68541,0.00994,0.89713,0.85675,0.89766,0.67591,0.97027,0.63281,0.01222,0.000871025,0.000871025,0.000871025
58,9168.25,0.92161,0.64712,0.00993,0.90042,0.85848,0.89868,0.67469,0.97234,0.61417,0.01199,0.000859027,0.000859027,0.000859027
59,9325.47,0.92586,0.68136,0.0098,0.89914,0.86195,0.89919,0.67335,0.94962,0.66278,0.01199,0.000846929,0.000846929,0.000846929
